genero,title,vote_average,cast,director
Drama,the bourne identity,7.3,Matt Damon Franka Potente Chris Cooper Clive Owen Brian Cox,Doug Liman
Mystery,the bourne identity,7.3,Matt Damon Franka Potente Chris Cooper Clive Owen Brian Cox,Doug Liman
Thriller,the bourne identity,7.3,Matt Damon Franka Potente Chris Cooper Clive Owen Brian Cox,Doug Liman
Adventure,goldeneye,6.6,Pierce Brosnan Sean Bean Izabella Scorupco Famke Janssen Joe Don Baker,Martin Campbell
Action,goldeneye,6.6,Pierce Brosnan Sean Bean Izabella Scorupco Famke Janssen Joe Don Baker,Martin Campbell
Thriller,goldeneye,6.6,Pierce Brosnan Sean Bean Izabella Scorupco Famke Janssen Joe Don Baker,Martin Campbell
Crime,the general's daughter,6.1,John Travolta Madeleine Stowe James Cromwell Timothy Hutton Leslie Stefanson,Simon West
Drama,the general's daughter,6.1,John Travolta Madeleine Stowe James Cromwell Timothy Hutton Leslie Stefanson,Simon West
Mystery,the general's daughter,6.1,John Travolta Madeleine Stowe James Cromwell Timothy Hutton Leslie Stefanson,Simon West
Thriller,the general's daughter,6.1,John Travolta Madeleine Stowe James Cromwell Timothy Hutton Leslie Stefanson,Simon West
Comedy,the truman show,7.8,Jim Carrey Laura Linney Noah Emmerich Natascha McElhone Ed Harris,Peter Weir
Drama,the truman show,7.8,Jim Carrey Laura Linney Noah Emmerich Natascha McElhone Ed Harris,Peter Weir
Adventure,the prince of egypt,6.8,Val Kilmer Ralph Fiennes Patrick Stewart Michelle Pfeiffer Sandra Bullock,Simon Wells
Animation,the prince of egypt,6.8,Val Kilmer Ralph Fiennes Patrick Stewart Michelle Pfeiffer Sandra Bullock,Simon Wells
Drama,the prince of egypt,6.8,Val Kilmer Ralph Fiennes Patrick Stewart Michelle Pfeiffer Sandra Bullock,Simon Wells
Family,the prince of egypt,6.8,Val Kilmer Ralph Fiennes Patrick Stewart Michelle Pfeiffer Sandra Bullock,Simon Wells
Music,the prince of egypt,6.8,Val Kilmer Ralph Fiennes Patrick Stewart Michelle Pfeiffer Sandra Bullock,Simon Wells
Comedy,daddy day care,5.6,Eddie Murphy Jeff Garlin Steve Zahn Regina King Kevin Nealon,Steve Carr
Family,daddy day care,5.6,Eddie Murphy Jeff Garlin Steve Zahn Regina King Kevin Nealon,Steve Carr
Action,2 guns,6.6,Denzel Washington Mark Wahlberg Paula Patton Bill Paxton Fred Ward,Baltasar Korm\u00e1kur
Comedy,2 guns,6.6,Denzel Washington Mark Wahlberg Paula Patton Bill Paxton Fred Ward,Baltasar Korm\u00e1kur
Crime,2 guns,6.6,Denzel Washington Mark Wahlberg Paula Patton Bill Paxton Fred Ward,Baltasar Korm\u00e1kur
Comedy,cats & dogs,5.0,Jeff Goldblum Elizabeth Perkins Alexander Pollock Miriam Margolyes Tobey Maguire,Lawrence Guterman
Family,cats & dogs,5.0,Jeff Goldblum Elizabeth Perkins Alexander Pollock Miriam Margolyes Tobey Maguire,Lawrence Guterman
Action,the italian job,6.6,Mark Wahlberg Charlize Theron Edward Norton Seth Green Jason Statham,F. Gary Gray
Crime,the italian job,6.6,Mark Wahlberg Charlize Theron Edward Norton Seth Green Jason Statham,F. Gary Gray
Romance,two weeks notice,5.9,Sandra Bullock Hugh Grant Alicia Witt Dana Ivey Robert Klein,Marc Lawrence
Comedy,two weeks notice,5.9,Sandra Bullock Hugh Grant Alicia Witt Dana Ivey Robert Klein,Marc Lawrence
Adventure,antz,6.0,Woody Allen Dan Aykroyd Anne Bancroft Danny Glover Gene Hackman,Eric Darnell
Animation,antz,6.0,Woody Allen Dan Aykroyd Anne Bancroft Danny Glover Gene Hackman,Eric Darnell
Comedy,antz,6.0,Woody Allen Dan Aykroyd Anne Bancroft Danny Glover Gene Hackman,Eric Darnell
Family,antz,6.0,Woody Allen Dan Aykroyd Anne Bancroft Danny Glover Gene Hackman,Eric Darnell
Comedy,couples retreat,5.3,Vince Vaughn Malin \u00c5kerman Jason Bateman Kristen Bell Jon Favreau,Peter Billingsley
Romance,couples retreat,5.3,Vince Vaughn Malin \u00c5kerman Jason Bateman Kristen Bell Jon Favreau,Peter Billingsley
Adventure,days of thunder,5.9,Tom Cruise Robert Duvall Nicole Kidman Randy Quaid Cary Elwes,Tony Scott
Comedy,cheaper by the dozen 2,5.7,Steve Martin Eugene Levy Bonnie Hunt Tom Welling Jonathan Bennett,Adam Shankman
Action,maze runner: the scorch trials,6.4,Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster Giancarlo Esposito Aidan Gillen,Wes Ball
Drama,eat pray love,5.8,Julia Roberts James Franco Javier Bardem Billy Crudup Richard Jenkins,Ryan Murphy
Comedy,the family man,6.5,Nicolas Cage T\u00e9a Leoni Don Cheadle Saul Rubinek Amber Valletta,Brett Ratner
Drama,the family man,6.5,Nicolas Cage T\u00e9a Leoni Don Cheadle Saul Rubinek Amber Valletta,Brett Ratner
Romance,the family man,6.5,Nicolas Cage T\u00e9a Leoni Don Cheadle Saul Rubinek Amber Valletta,Brett Ratner
Fantasy,the family man,6.5,Nicolas Cage T\u00e9a Leoni Don Cheadle Saul Rubinek Amber Valletta,Brett Ratner
Action,red,6.6,Bruce Willis John Malkovich Helen Mirren Mary-Louise Parker Karl Urban,Robert Schwentke
Adventure,red,6.6,Bruce Willis John Malkovich Helen Mirren Mary-Louise Parker Karl Urban,Robert Schwentke
Comedy,red,6.6,Bruce Willis John Malkovich Helen Mirren Mary-Louise Parker Karl Urban,Robert Schwentke
Crime,red,6.6,Bruce Willis John Malkovich Helen Mirren Mary-Louise Parker Karl Urban,Robert Schwentke
Thriller,red,6.6,Bruce Willis John Malkovich Helen Mirren Mary-Louise Parker Karl Urban,Robert Schwentke
Drama,any given sunday,6.8,Al Pacino Cameron Diaz Dennis Quaid James Woods Jamie Foxx,Oliver Stone
Drama,the horse whisperer,6.7,Robert Redford Kristin Scott Thomas Sam Neill Scarlett Johansson Dianne Wiest,Robert Redford
Romance,the horse whisperer,6.7,Robert Redford Kristin Scott Thomas Sam Neill Scarlett Johansson Dianne Wiest,Robert Redford
Drama,collateral,7.0,Tom Cruise Jamie Foxx Jada Pinkett Smith Mark Ruffalo Peter Berg,Michael Mann
Crime,collateral,7.0,Tom Cruise Jamie Foxx Jada Pinkett Smith Mark Ruffalo Peter Berg,Michael Mann
Thriller,collateral,7.0,Tom Cruise Jamie Foxx Jada Pinkett Smith Mark Ruffalo Peter Berg,Michael Mann
Action,the scorpion king,5.3,Dwayne Johnson Kelly Hu Michael Clarke Duncan Steven Brand Bernard Hill,Chuck Russell
Fantasy,the scorpion king,5.3,Dwayne Johnson Kelly Hu Michael Clarke Duncan Steven Brand Bernard Hill,Chuck Russell
Adventure,the scorpion king,5.3,Dwayne Johnson Kelly Hu Michael Clarke Duncan Steven Brand Bernard Hill,Chuck Russell
Drama,ladder 49,6.2,Joaquin Phoenix John Travolta Jacinda Barrett Robert Patrick Morris Chestnut,Jay Russell
Action,ladder 49,6.2,Joaquin Phoenix John Travolta Jacinda Barrett Robert Patrick Morris Chestnut,Jay Russell
Thriller,ladder 49,6.2,Joaquin Phoenix John Travolta Jacinda Barrett Robert Patrick Morris Chestnut,Jay Russell
Crime,jack reacher,6.3,Tom Cruise Rosamund Pike Richard Jenkins David Oyelowo Werner Herzog,Christopher McQuarrie
Drama,jack reacher,6.3,Tom Cruise Rosamund Pike Richard Jenkins David Oyelowo Werner Herzog,Christopher McQuarrie
Thriller,jack reacher,6.3,Tom Cruise Rosamund Pike Richard Jenkins David Oyelowo Werner Herzog,Christopher McQuarrie
Action,deep blue sea,5.6,Thomas Jane Saffron Burrows LL Cool J Michael Rapaport Samuel L. Jackson,Renny Harlin
Science,deep blue sea,5.6,Thomas Jane Saffron Burrows LL Cool J Michael Rapaport Samuel L. Jackson,Renny Harlin
Fiction,deep blue sea,5.6,Thomas Jane Saffron Burrows LL Cool J Michael Rapaport Samuel L. Jackson,Renny Harlin
Thriller,deep blue sea,5.6,Thomas Jane Saffron Burrows LL Cool J Michael Rapaport Samuel L. Jackson,Renny Harlin
Music,this is it,6.7,Michael Jackson Orianthi Kenny Ortega Dorian Holley Patrick Woodroffe,Kenny Ortega
Documentary,this is it,6.7,Michael Jackson Orianthi Kenny Ortega Dorian Holley Patrick Woodroffe,Kenny Ortega
Drama,contagion,6.2,Matt Damon Gwyneth Paltrow Kate Winslet Jude Law Marion Cotillard,Steven Soderbergh
Thriller,contagion,6.2,Matt Damon Gwyneth Paltrow Kate Winslet Jude Law Marion Cotillard,Steven Soderbergh
Science,contagion,6.2,Matt Damon Gwyneth Paltrow Kate Winslet Jude Law Marion Cotillard,Steven Soderbergh
Fiction,contagion,6.2,Matt Damon Gwyneth Paltrow Kate Winslet Jude Law Marion Cotillard,Steven Soderbergh
Comedy,kangaroo jack,4.3,Jerry O'Connell Anthony Anderson Estella Warren Christopher Walken Michael Shannon,David McNally
Adventure,kangaroo jack,4.3,Jerry O'Connell Anthony Anderson Estella Warren Christopher Walken Michael Shannon,David McNally
Crime,kangaroo jack,4.3,Jerry O'Connell Anthony Anderson Estella Warren Christopher Walken Michael Shannon,David McNally
Animation,coraline,7.3,Dakota Fanning Teri Hatcher Jennifer Saunders Dawn French Keith David,Henry Selick
Family,coraline,7.3,Dakota Fanning Teri Hatcher Jennifer Saunders Dawn French Keith David,Henry Selick
Thriller,the happening,4.9,Mark Wahlberg Zooey Deschanel John Leguizamo Spencer Breslin Betty Buckley,M. Night Shyamalan
Science,the happening,4.9,Mark Wahlberg Zooey Deschanel John Leguizamo Spencer Breslin Betty Buckley,M. Night Shyamalan
Fiction,the happening,4.9,Mark Wahlberg Zooey Deschanel John Leguizamo Spencer Breslin Betty Buckley,M. Night Shyamalan
Action,man on fire,7.3,Denzel Washington Dakota Fanning Marc Anthony Radha Mitchell Christopher Walken,Tony Scott
Drama,man on fire,7.3,Denzel Washington Dakota Fanning Marc Anthony Radha Mitchell Christopher Walken,Tony Scott
Thriller,man on fire,7.3,Denzel Washington Dakota Fanning Marc Anthony Radha Mitchell Christopher Walken,Tony Scott
Crime,man on fire,7.3,Denzel Washington Dakota Fanning Marc Anthony Radha Mitchell Christopher Walken,Tony Scott
Comedy,the shaggy dog,4.5,Tim Allen Kristin Davis Danny Glover Spencer Breslin Robert Downey Jr.,Brian Robbins
Family,the shaggy dog,4.5,Tim Allen Kristin Davis Danny Glover Spencer Breslin Robert Downey Jr.,Brian Robbins
Comedy,starsky & hutch,5.6,Ben Stiller Owen Wilson Snoop Dogg Fred Williamson Vince Vaughn,Todd Phillips
Crime,starsky & hutch,5.6,Ben Stiller Owen Wilson Snoop Dogg Fred Williamson Vince Vaughn,Todd Phillips
Family,jingle all the way,5.5,Arnold Schwarzenegger Phil Hartman Sinbad Rita Wilson Jake Lloyd,Brian Levant
Comedy,jingle all the way,5.5,Arnold Schwarzenegger Phil Hartman Sinbad Rita Wilson Jake Lloyd,Brian Levant
Fantasy,hellboy,6.5,Ron Perlman Selma Blair Rupert Evans John Hurt Jeffrey Tambor,Guillermo del Toro
Action,hellboy,6.5,Ron Perlman Selma Blair Rupert Evans John Hurt Jeffrey Tambor,Guillermo del Toro
Science,hellboy,6.5,Ron Perlman Selma Blair Rupert Evans John Hurt Jeffrey Tambor,Guillermo del Toro
Fiction,hellboy,6.5,Ron Perlman Selma Blair Rupert Evans John Hurt Jeffrey Tambor,Guillermo del Toro
Drama,a civil action,6.1,John Travolta Robert Duvall Tony Shalhoub William H. Macy Zeljko Ivanek,Steven Zaillian
Family,paranorman,6.7,Kodi Smit-McPhee Tucker Albrizzi Jodelle Ferland Anna Kendrick Casey Affleck,Sam Fell
Animation,paranorman,6.7,Kodi Smit-McPhee Tucker Albrizzi Jodelle Ferland Anna Kendrick Casey Affleck,Sam Fell
Adventure,paranorman,6.7,Kodi Smit-McPhee Tucker Albrizzi Jodelle Ferland Anna Kendrick Casey Affleck,Sam Fell
Comedy,paranorman,6.7,Kodi Smit-McPhee Tucker Albrizzi Jodelle Ferland Anna Kendrick Casey Affleck,Sam Fell
Action,the jackal,6.1,Bruce Willis Richard Gere Sidney Poitier Diane Venora J.K. Simmons,Michael Caton-Jones
Thriller,the jackal,6.1,Bruce Willis Richard Gere Sidney Poitier Diane Venora J.K. Simmons,Michael Caton-Jones
Adventure,the jackal,6.1,Bruce Willis Richard Gere Sidney Poitier Diane Venora J.K. Simmons,Michael Caton-Jones
Crime,the jackal,6.1,Bruce Willis Richard Gere Sidney Poitier Diane Venora J.K. Simmons,Michael Caton-Jones
Action,paycheck,5.9,Ben Affleck Aaron Eckhart Uma Thurman Paul Giamatti Colm Feore,John Woo
Adventure,paycheck,5.9,Ben Affleck Aaron Eckhart Uma Thurman Paul Giamatti Colm Feore,John Woo
Mystery,paycheck,5.9,Ben Affleck Aaron Eckhart Uma Thurman Paul Giamatti Colm Feore,John Woo
Science,paycheck,5.9,Ben Affleck Aaron Eckhart Uma Thurman Paul Giamatti Colm Feore,John Woo
Fiction,paycheck,5.9,Ben Affleck Aaron Eckhart Uma Thurman Paul Giamatti Colm Feore,John Woo
Thriller,paycheck,5.9,Ben Affleck Aaron Eckhart Uma Thurman Paul Giamatti Colm Feore,John Woo
Drama,up close & personal,5.9,Robert Redford Michelle Pfeiffer Stockard Channing Joe Mantegna Kate Nelligan,Jon Avnet
Romance,up close & personal,5.9,Robert Redford Michelle Pfeiffer Stockard Channing Joe Mantegna Kate Nelligan,Jon Avnet
Adventure,the tale of despereaux,5.8,Matthew Broderick Dustin Hoffman Emma Watson Tracey Ullman Kevin Kline,Robert Stevenhagen
Animation,the tale of despereaux,5.8,Matthew Broderick Dustin Hoffman Emma Watson Tracey Ullman Kevin Kline,Robert Stevenhagen
Family,the tale of despereaux,5.8,Matthew Broderick Dustin Hoffman Emma Watson Tracey Ullman Kevin Kline,Robert Stevenhagen
Thriller,the tuxedo,5.3,Jackie Chan Jennifer Love Hewitt Jason Isaacs Debi Mazar Ritchie Coster,Kevin Donovan
Action,the tuxedo,5.3,Jackie Chan Jennifer Love Hewitt Jason Isaacs Debi Mazar Ritchie Coster,Kevin Donovan
Comedy,the tuxedo,5.3,Jackie Chan Jennifer Love Hewitt Jason Isaacs Debi Mazar Ritchie Coster,Kevin Donovan
Science,the tuxedo,5.3,Jackie Chan Jennifer Love Hewitt Jason Isaacs Debi Mazar Ritchie Coster,Kevin Donovan
Fiction,the tuxedo,5.3,Jackie Chan Jennifer Love Hewitt Jason Isaacs Debi Mazar Ritchie Coster,Kevin Donovan
Action,under siege 2: dark territory,5.6,Steven Seagal Eric Bogosian Everett McGill Katherine Heigl Morris Chestnut,Geoff Murphy
Thriller,under siege 2: dark territory,5.6,Steven Seagal Eric Bogosian Everett McGill Katherine Heigl Morris Chestnut,Geoff Murphy
Action,jack ryan: shadow recruit,5.9,Chris Pine Keira Knightley Kevin Costner Kenneth Branagh Lenn Kudrjawizki,Kenneth Branagh
Drama,jack ryan: shadow recruit,5.9,Chris Pine Keira Knightley Kevin Costner Kenneth Branagh Lenn Kudrjawizki,Kenneth Branagh
Thriller,jack ryan: shadow recruit,5.9,Chris Pine Keira Knightley Kevin Costner Kenneth Branagh Lenn Kudrjawizki,Kenneth Branagh
Drama,joy,6.4,Jennifer Lawrence Bradley Cooper Robert De Niro Dascha Polanco Edgar Ram\u00edrez,David O. Russell
Comedy,joy,6.4,Jennifer Lawrence Bradley Cooper Robert De Niro Dascha Polanco Edgar Ram\u00edrez,David O. Russell
Action,london has fallen,5.8,Gerard Butler Aaron Eckhart Morgan Freeman Angela Bassett Melissa Leo,Babak Najafi
Crime,london has fallen,5.8,Gerard Butler Aaron Eckhart Morgan Freeman Angela Bassett Melissa Leo,Babak Najafi
Thriller,london has fallen,5.8,Gerard Butler Aaron Eckhart Morgan Freeman Angela Bassett Melissa Leo,Babak Najafi
Science,alien: resurrection,5.9,Sigourney Weaver Winona Ryder Brad Dourif Ron Perlman Michael Wincott,Jean-Pierre Jeunet
Fiction,alien: resurrection,5.9,Sigourney Weaver Winona Ryder Brad Dourif Ron Perlman Michael Wincott,Jean-Pierre Jeunet
Horror,alien: resurrection,5.9,Sigourney Weaver Winona Ryder Brad Dourif Ron Perlman Michael Wincott,Jean-Pierre Jeunet
Action,alien: resurrection,5.9,Sigourney Weaver Winona Ryder Brad Dourif Ron Perlman Michael Wincott,Jean-Pierre Jeunet
Action,shooter,6.9,Mark Wahlberg Michael Pe\u00f1a Danny Glover Kate Mara Elias Koteas,Antoine Fuqua
Drama,shooter,6.9,Mark Wahlberg Michael Pe\u00f1a Danny Glover Kate Mara Elias Koteas,Antoine Fuqua
Mystery,shooter,6.9,Mark Wahlberg Michael Pe\u00f1a Danny Glover Kate Mara Elias Koteas,Antoine Fuqua
Thriller,shooter,6.9,Mark Wahlberg Michael Pe\u00f1a Danny Glover Kate Mara Elias Koteas,Antoine Fuqua
Crime,shooter,6.9,Mark Wahlberg Michael Pe\u00f1a Danny Glover Kate Mara Elias Koteas,Antoine Fuqua
Animation,the boxtrolls,6.6,Ben Kingsley Isaac Hempstead-Wright Elle Fanning Dee Bradley Baker Toni Collette,Anthony Stacchi
Comedy,the boxtrolls,6.6,Ben Kingsley Isaac Hempstead-Wright Elle Fanning Dee Bradley Baker Toni Collette,Anthony Stacchi
Family,the boxtrolls,6.6,Ben Kingsley Isaac Hempstead-Wright Elle Fanning Dee Bradley Baker Toni Collette,Anthony Stacchi
Fantasy,the boxtrolls,6.6,Ben Kingsley Isaac Hempstead-Wright Elle Fanning Dee Bradley Baker Toni Collette,Anthony Stacchi
Drama,practical magic,6.3,Sandra Bullock Nicole Kidman Evan Rachel Wood Goran Visnjic Stockard Channing,Griffin Dunne
Fantasy,practical magic,6.3,Sandra Bullock Nicole Kidman Evan Rachel Wood Goran Visnjic Stockard Channing,Griffin Dunne
Comedy,practical magic,6.3,Sandra Bullock Nicole Kidman Evan Rachel Wood Goran Visnjic Stockard Channing,Griffin Dunne
Adventure,the lego movie,7.5,Chris Pratt Will Ferrell Elizabeth Banks Will Arnett Nick Offerman,Phil Lord
Animation,the lego movie,7.5,Chris Pratt Will Ferrell Elizabeth Banks Will Arnett Nick Offerman,Phil Lord
Comedy,the lego movie,7.5,Chris Pratt Will Ferrell Elizabeth Banks Will Arnett Nick Offerman,Phil Lord
Family,the lego movie,7.5,Chris Pratt Will Ferrell Elizabeth Banks Will Arnett Nick Offerman,Phil Lord
Fantasy,the lego movie,7.5,Chris Pratt Will Ferrell Elizabeth Banks Will Arnett Nick Offerman,Phil Lord
Action,miss congeniality 2: armed and fabulous,5.3,Sandra Bullock Regina King Enrique Murciano William Shatner Eileen Brennan,John Pasquin
Comedy,miss congeniality 2: armed and fabulous,5.3,Sandra Bullock Regina King Enrique Murciano William Shatner Eileen Brennan,John Pasquin
Adventure,reign of fire,6.0,Christian Bale Matthew McConaughey Izabella Scorupco Gerard Butler Alexander Siddig,Rob Bowman
Action,reign of fire,6.0,Christian Bale Matthew McConaughey Izabella Scorupco Gerard Butler Alexander Siddig,Rob Bowman
Fantasy,reign of fire,6.0,Christian Bale Matthew McConaughey Izabella Scorupco Gerard Butler Alexander Siddig,Rob Bowman
Crime,gangster squad,6.2,Josh Brolin Ryan Gosling Nick Nolte Emma Stone Sean Penn,Ruben Fleischer
Drama,gangster squad,6.2,Josh Brolin Ryan Gosling Nick Nolte Emma Stone Sean Penn,Ruben Fleischer
Action,gangster squad,6.2,Josh Brolin Ryan Gosling Nick Nolte Emma Stone Sean Penn,Ruben Fleischer
Thriller,gangster squad,6.2,Josh Brolin Ryan Gosling Nick Nolte Emma Stone Sean Penn,Ruben Fleischer
Comedy,year one,4.6,Jack Black Michael Cera Olivia Wilde Oliver Platt David Cross,Harold Ramis
Adventure,year one,4.6,Jack Black Michael Cera Olivia Wilde Oliver Platt David Cross,Harold Ramis
Drama,invictus,7.0,Morgan Freeman Matt Damon Tony Kgoroge Patrick Mofokeng Matt Stern,Clint Eastwood
History,invictus,7.0,Morgan Freeman Matt Damon Tony Kgoroge Patrick Mofokeng Matt Stern,Clint Eastwood
Action,state of play,6.7,Russell Crowe Ben Affleck Rachel McAdams Robin Wright Jason Bateman,Kevin Macdonald
Romance,duplicity,5.7,Clive Owen Julia Roberts Paul Giamatti Tom Wilkinson Lisa Roberts Gillan,Tony Gilroy
Comedy,duplicity,5.7,Clive Owen Julia Roberts Paul Giamatti Tom Wilkinson Lisa Roberts Gillan,Tony Gilroy
Crime,duplicity,5.7,Clive Owen Julia Roberts Paul Giamatti Tom Wilkinson Lisa Roberts Gillan,Tony Gilroy
Comedy,my favorite martian,5.1,Jeff Daniels Elizabeth Hurley Daryl Hannah Christopher Lloyd Wallace Shawn,Donald Petrie
Drama,my favorite martian,5.1,Jeff Daniels Elizabeth Hurley Daryl Hannah Christopher Lloyd Wallace Shawn,Donald Petrie
Family,my favorite martian,5.1,Jeff Daniels Elizabeth Hurley Daryl Hannah Christopher Lloyd Wallace Shawn,Donald Petrie
Science,my favorite martian,5.1,Jeff Daniels Elizabeth Hurley Daryl Hannah Christopher Lloyd Wallace Shawn,Donald Petrie
Fiction,my favorite martian,5.1,Jeff Daniels Elizabeth Hurley Daryl Hannah Christopher Lloyd Wallace Shawn,Donald Petrie
Action,the sentinel,5.8,Michael Douglas Kiefer Sutherland Eva Longoria Martin Donovan Kim Basinger,Clark Johnson
Thriller,the sentinel,5.8,Michael Douglas Kiefer Sutherland Eva Longoria Martin Donovan Kim Basinger,Clark Johnson
Crime,the sentinel,5.8,Michael Douglas Kiefer Sutherland Eva Longoria Martin Donovan Kim Basinger,Clark Johnson
Science,planet 51,5.6,Dwayne Johnson Seann William Scott Jessica Biel Justin Long Gary Oldman,Jorge Blanco
Fiction,planet 51,5.6,Dwayne Johnson Seann William Scott Jessica Biel Justin Long Gary Oldman,Jorge Blanco
Animation,planet 51,5.6,Dwayne Johnson Seann William Scott Jessica Biel Justin Long Gary Oldman,Jorge Blanco
Family,planet 51,5.6,Dwayne Johnson Seann William Scott Jessica Biel Justin Long Gary Oldman,Jorge Blanco
Comedy,planet 51,5.6,Dwayne Johnson Seann William Scott Jessica Biel Justin Long Gary Oldman,Jorge Blanco
Adventure,planet 51,5.6,Dwayne Johnson Seann William Scott Jessica Biel Justin Long Gary Oldman,Jorge Blanco
Science,star trek: nemesis,6.1,Patrick Stewart Jonathan Frakes Brent Spiner LeVar Burton Michael Dorn,Stuart Baird
Fiction,star trek: nemesis,6.1,Patrick Stewart Jonathan Frakes Brent Spiner LeVar Burton Michael Dorn,Stuart Baird
Action,star trek: nemesis,6.1,Patrick Stewart Jonathan Frakes Brent Spiner LeVar Burton Michael Dorn,Stuart Baird
Adventure,star trek: nemesis,6.1,Patrick Stewart Jonathan Frakes Brent Spiner LeVar Burton Michael Dorn,Stuart Baird
Thriller,star trek: nemesis,6.1,Patrick Stewart Jonathan Frakes Brent Spiner LeVar Burton Michael Dorn,Stuart Baird
Crime,intolerable cruelty,5.8,George Clooney Catherine Zeta-Jones Edward Herrmann Geoffrey Rush Richard Jenkins,Joel Coen
Comedy,intolerable cruelty,5.8,George Clooney Catherine Zeta-Jones Edward Herrmann Geoffrey Rush Richard Jenkins,Joel Coen
Romance,intolerable cruelty,5.8,George Clooney Catherine Zeta-Jones Edward Herrmann Geoffrey Rush Richard Jenkins,Joel Coen
Drama,trouble with the curve,6.6,Clint Eastwood Amy Adams Justin Timberlake John Goodman Matthew Lillard,Robert Lorenz
Romance,trouble with the curve,6.6,Clint Eastwood Amy Adams Justin Timberlake John Goodman Matthew Lillard,Robert Lorenz
Crime,edge of darkness,6.2,Mel Gibson Ray Winstone Danny Huston Shawn Roberts Denis O'Hare,Martin Campbell
Drama,edge of darkness,6.2,Mel Gibson Ray Winstone Danny Huston Shawn Roberts Denis O'Hare,Martin Campbell
Mystery,edge of darkness,6.2,Mel Gibson Ray Winstone Danny Huston Shawn Roberts Denis O'Hare,Martin Campbell
Thriller,edge of darkness,6.2,Mel Gibson Ray Winstone Danny Huston Shawn Roberts Denis O'Hare,Martin Campbell
Horror,the relic,5.8,Penelope Ann Miller Tom Sizemore Linda Hunt James Whitmore Clayton Rohner,Peter Hyams
Mystery,the relic,5.8,Penelope Ann Miller Tom Sizemore Linda Hunt James Whitmore Clayton Rohner,Peter Hyams
Thriller,the relic,5.8,Penelope Ann Miller Tom Sizemore Linda Hunt James Whitmore Clayton Rohner,Peter Hyams
Comedy,analyze that,5.7,Robert De Niro Billy Crystal Lisa Kudrow Joe Viterelli Cathy Moriarty,Harold Ramis
Crime,analyze that,5.7,Robert De Niro Billy Crystal Lisa Kudrow Joe Viterelli Cathy Moriarty,Harold Ramis
Action,righteous kill,5.9,Robert De Niro Carla Gugino 50 Cent Al Pacino Donnie Wahlberg,Jon Avnet
Crime,righteous kill,5.9,Robert De Niro Carla Gugino 50 Cent Al Pacino Donnie Wahlberg,Jon Avnet
Drama,righteous kill,5.9,Robert De Niro Carla Gugino 50 Cent Al Pacino Donnie Wahlberg,Jon Avnet
Thriller,righteous kill,5.9,Robert De Niro Carla Gugino 50 Cent Al Pacino Donnie Wahlberg,Jon Avnet
Action,mercury rising,6.0,Bruce Willis Alec Baldwin Miko Hughes Chi McBride Kim Dickens,Harold Becker
Crime,mercury rising,6.0,Bruce Willis Alec Baldwin Miko Hughes Chi McBride Kim Dickens,Harold Becker
Drama,mercury rising,6.0,Bruce Willis Alec Baldwin Miko Hughes Chi McBride Kim Dickens,Harold Becker
Thriller,mercury rising,6.0,Bruce Willis Alec Baldwin Miko Hughes Chi McBride Kim Dickens,Harold Becker
Drama,the soloist,6.6,Robert Downey Jr. Jamie Foxx Catherine Keener Nelsan Ellis Michael Bunin,Joe Wright
Fantasy,the legend of bagger vance,6.3,Matt Damon Bruce McGill Charlize Theron Will Smith Joel Gretsch,Robert Redford
Drama,the legend of bagger vance,6.3,Matt Damon Bruce McGill Charlize Theron Will Smith Joel Gretsch,Robert Redford
Drama,almost famous,7.4,Kate Hudson Billy Crudup Frances McDormand Jason Lee Patrick Fugit,Cameron Crowe
Music,almost famous,7.4,Kate Hudson Billy Crudup Frances McDormand Jason Lee Patrick Fugit,Cameron Crowe
Animation,garfield: a tail of two kitties,5.1,Bill Murray Jennifer Love Hewitt Billy Connolly Ian Abercrombie Breckin Meyer,Tim Hill
Comedy,garfield: a tail of two kitties,5.1,Bill Murray Jennifer Love Hewitt Billy Connolly Ian Abercrombie Breckin Meyer,Tim Hill
Family,garfield: a tail of two kitties,5.1,Bill Murray Jennifer Love Hewitt Billy Connolly Ian Abercrombie Breckin Meyer,Tim Hill
Action,xxx: state of the union,4.7,Ice Cube Samuel L. Jackson Willem Dafoe Scott Speedman Peter Strauss,Lee Tamahori
Adventure,xxx: state of the union,4.7,Ice Cube Samuel L. Jackson Willem Dafoe Scott Speedman Peter Strauss,Lee Tamahori
Crime,xxx: state of the union,4.7,Ice Cube Samuel L. Jackson Willem Dafoe Scott Speedman Peter Strauss,Lee Tamahori
Drama,xxx: state of the union,4.7,Ice Cube Samuel L. Jackson Willem Dafoe Scott Speedman Peter Strauss,Lee Tamahori
Mystery,xxx: state of the union,4.7,Ice Cube Samuel L. Jackson Willem Dafoe Scott Speedman Peter Strauss,Lee Tamahori
Action,priest,5.4,Paul Bettany Karl Urban Cam Gigandet Maggie Q Lily Collins,Scott Stewart
Science,priest,5.4,Paul Bettany Karl Urban Cam Gigandet Maggie Q Lily Collins,Scott Stewart
Fiction,priest,5.4,Paul Bettany Karl Urban Cam Gigandet Maggie Q Lily Collins,Scott Stewart
Fantasy,priest,5.4,Paul Bettany Karl Urban Cam Gigandet Maggie Q Lily Collins,Scott Stewart
Thriller,priest,5.4,Paul Bettany Karl Urban Cam Gigandet Maggie Q Lily Collins,Scott Stewart
